



5;André Luiz Teixeira Grigaitis Ribeiro;asdasd;28/11/2018 16:32:46;1
6;André Luiz Teixeira Grigaitis Ribeiro;asdasdasdasdasdasdasd;28/11/2018 16:33:43;1
7;André Luiz Teixeira Grigaitis Ribeiro;meu nome é john;28/11/2018 16:47:48;1
8;André Luiz Teixeira Grigaitis Ribeiro;meu nome é john;28/11/2018 16:50:10;1
9;André Luiz Teixeira Grigaitis Ribeiro;blablabla;28/11/2018 16:50:41;1
10;André Luiz Teixeira Grigaitis Ribeiro;banaa;28/11/2018 16:53:31;1
11;André Luiz Teixeira Grigaitis Ribeiro;o ariel é lindo;28/11/2018 16:53:49;1
12;André Luiz Teixeira Grigaitis Ribeiro;o ariel é lindo;28/11/2018 16:57:15;1
13;André Luiz Teixeira Grigaitis Ribeiro;batata quente;28/11/2018 17:10:09;1
14;André Luiz Teixeira Grigaitis Ribeiro;batata quente;28/11/2018 17:10:47;1
15;pedrp;basdnuasd;29/11/2018 13:14:27;1
16;Apache;Eu sou o apache e adorei o vosso produto;29/11/2018 16:45:20;1
17;Apache;eu adoro cheiro de gasolina;29/11/2018 16:46:57;1
18;André Luiz Teixeira Grigaitis Ribeiro;paode caju;29/11/2018 17:18:33;1
19;André Luiz Teixeira Grigaitis Ribeiro;iausudhuasd;30/11/2018 13:15:37;1

21;André Luiz Teixeira Grigaitis Ribeiro;blabbalmbkahushdasd;30/11/2018 13:58:52;1
22;marcelo;o marcelo é um bundao;30/11/2018 14:13:15;1
